Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2021","2021","","106.51","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2022","2022","","101.97","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01510","Potatoes","2023","2023","","106.86","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2016","2016","","110.77","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2017","2017","","116.26","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2018","2018","","126.97","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2019","2019","","134.36","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2020","2020","","123.81","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2021","2021","","120.74","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2022","2022","","107.93","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2023","2023","","117.1","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2016","2016","","109.72","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2017","2017","","114.1","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2018","2018","","123.43","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2019","2019","","129.38","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2020","2020","","118.25","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2021","2021","","114.55","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2022","2022","","101.63","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2023","2023","","109.3","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01342.02","Quinces","2016","2016","","102.75","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01342.02","Quinces","2017","2017","","106.49","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01342.02","Quinces","2018","2018","","110.44","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01342.02","Quinces","2019","2019","","108.91","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01342.02","Quinces","2020","2020","","124.18","E","Estimated value"
