Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","124","Canada","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","129.189415","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","130.251828","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2023","2023","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","130.676793","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","6125","Value","","100.186787","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","6125","Value","","100.423822","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","6125","Value","","101.055915","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","6125","Value","","101.371962","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","6125","Value","","101.76702","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","6125","Value","","102.004055","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","6125","Value","","101.846032","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","124","Canada","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","6125","Value","","101.688009","X","Figure from external organization","base year is 2015"
